en-de	gold	0	(PERSON2) Ja, das ist das einzige, was ich für positive Einschränkungen getan habe.	( PERSON2 ) Ja , das ist das einzige , was ich für positive Einschränkungen getan habe . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	559	Jeder Jugendliche und sein Erziehungsberechtigter erhielt eine Kopie seiner Beschwerde und wurde bis zu zukünftigen Gerichtsverhandlungen freigelassen, sagte der Staatsanwalt gegenüber CBS News.	Jeder Jugendliche und sein Erziehungsberechtigter erhielt eine Kopie seiner Beschwerde und wurde bis zu zukünftigen Gerichtsverhandlungen freigelassen , sagte der Staatsanwalt gegenüber CBS News . <EOS>	OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	560	Die Schüler der Schule veranstalteten am Mittwoch einen Streik zur Unterstützung von Adrianas Familie.	Die Schüler der Schule veranstalteten am Mittwoch einen Streik zur Unterstützung von Adrianas Familie . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	561	Wenn Sie oder jemand, den Sie kennen, in einer emotionalen Belastung oder einer Selbstmordkrise ist, können Sie die 988 Suicide & Crisis Lifeline erreichen, indem Sie sie anrufen oder eine SMS schicken.	Wenn Sie oder jemand , den Sie kennen , in einer emotionalen Belastung oder einer Selbstmordkrise ist , können Sie die 988 Suicide & Crisis Lifeline erreichen , indem Sie sie anrufen oder eine SMS schicken . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	562	Sie können auch hier mit der 988 Suicide & Crisis Lifeline chatten.	Sie können auch hier mit der 988 Suicide & Crisis Lifeline chatten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	563	Für weitere Informationen über psychische Gesundheitsfürsorge und Unterstützung kann die National Alliance on Mental Illness (NAMI) HelpLine von Montag bis Freitag von 10 Uhr bis 22 Uhr ET unter 1-800-950-Nami (6264) oder per E-Mail an info@nami.org erreicht werden.	Für weitere Informationen über psychische Gesundheitsfürsorge und Unterstützung kann die National Alliance on Mental Illness ( NAMI ) HelpLine von Montag bis Freitag von 10 Uhr bis 22 Uhr ET unter 1-800-950-Nami ( 6264 ) oder per E-Mail an info @ nami.org erreicht werden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	564	Zimbabwe wird bis März neue Kohlekraftwerke in Betrieb nehmen	Zimbabwe wird bis März neue Kohlekraftwerke in Betrieb nehmen <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	565	BENGALURU (Reuters) - Simbabwe wird bis März eine neue Einheit in seinem einzigen Kohlekraftwerk in Betrieb nehmen, sagt der stellvertretende Energieminister des Landes, der Millionen von Bürgern, die in den letzten Monaten durch häufige Stromausfälle erschüttert wurden, Erleichterung bietet.	BENGALURU ( Reuters ) - Simbabwe wird bis März eine neue Einheit in seinem einzigen Kohlekraftwerk in Betrieb nehmen , sagt der stellvertretende Energieminister des Landes , der Millionen von Bürgern , die in den letzten Monaten durch häufige Stromausfälle erschüttert wurden , Erleichterung bietet . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	566	Die neue Einheit des Kraftwerks Hwange wird die installierte Kapazität des afrikanischen Landes um mehr als 14% auf 2400 Megawatt erhöhen.	Die neue Einheit des Kraftwerks Hwange wird die installierte Kapazität des afrikanischen Landes um mehr als 14 % auf 2400 Megawatt erhöhen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK
en-de	gold	567	Die nächste Einheit wird voraussichtlich bald in Betrieb genommen, sagte Magna Mudyiwa, ohne einen Zeitplan anzugeben.	Die nächste Einheit wird voraussichtlich bald in Betrieb genommen , sagte Magna Mudyiwa , ohne einen Zeitplan anzugeben . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	568	Weniger als die Hälfte der 16 Millionen Einwohner Simbabwes hat Zugang zu Elektrizität, und eine weltweite Drückung bei der Finanzierung neuer Kohlekapazitäten hat die Fähigkeit des Landes eingeschränkt, chronische Stromausfälle zu stoppen, die in den letzten Tagen bis zu 18 Stunden gedauert haben.	Weniger als die Hälfte der 16 Millionen Einwohner Simbabwes hat Zugang zu Elektrizität , und eine weltweite Drückung bei der Finanzierung neuer Kohlekapazitäten hat die Fähigkeit des Landes eingeschränkt , chronische Stromausfälle zu stoppen , die in den letzten Tagen bis zu 18 Stunden gedauert haben . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	569	Wir haben die Kapazität, bis zu 2100 Megawatt (MW) aus unseren Stromquellen zu erzeugen, aber im Moment produzieren wir viel weniger als das, etwa 1000 MW, sagte Mudyiwa gegenüber Reuters.	Wir haben die Kapazität , bis zu 2100 Megawatt ( MW ) aus unseren Stromquellen zu erzeugen , aber im Moment produzieren wir viel weniger als das , etwa 1000 MW , sagte Mudyiwa gegenüber Reuters . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	570	Aber unsere Nachfrage nach Strom beträgt etwa 1700 MW, so dass wir ein ernsthaftes Defizit haben, sagte sie.	Aber unsere Nachfrage nach Strom beträgt etwa 1700 MW , so dass wir ein ernsthaftes Defizit haben , sagte sie . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	571	Mangelnde Regenfälle haben zu einem Rückgang der Wasserkraft erzeugung geführt, während die Effizienz der alleinigen, jahrzehntelangen Kohlekraftwerke im Laufe der Zeit stark gesunken ist. Die Stromnachfrage ist in den letzten Jahren aufgrund höherer Bergbau- und Agraraktivitäten gestiegen.	Mangelnde Regenfälle haben zu einem Rückgang der Wasserkraft erzeugung geführt , während die Effizienz der alleinigen , jahrzehntelangen Kohlekraftwerke im Laufe der Zeit stark gesunken ist . Die Stromnachfrage ist in den letzten Jahren aufgrund höherer Bergbau- und Agraraktivitäten gestiegen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	572	Der Internationale Währungsfonds betrachtet Stromknappheit als einen der wichtigsten Faktoren, die die Wachstumsperspektiven Simbabwes beeinträchtigen.	Der Internationale Währungsfonds betrachtet Stromknappheit als einen der wichtigsten Faktoren , die die Wachstumsperspektiven Simbabwes beeinträchtigen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	573	Der Mangel an Finanzierung für Kohlekraft treibt die von Bergbau und Landwirtschaft abhängige Wirtschaft dazu, teure Stromversorgung aus den Nachbarländern, darunter Zambia und Mosambik, zu importieren.	Der Mangel an Finanzierung für Kohlekraft treibt die von Bergbau und Landwirtschaft abhängige Wirtschaft dazu , teure Stromversorgung aus den Nachbarländern , darunter Zambia und Mosambik , zu importieren . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	574	"Wir hoffen"", Biden hat einen Plan für den Umgang mit Titel 42 Endend, 'Wenn Sie tun, Sie haben es nicht vollständig geteilt""."	"Wir hoffen "" , Biden hat einen Plan für den Umgang mit Titel 42 Endend , ' Wenn Sie tun , Sie haben es nicht vollständig geteilt "" . <EOS>"	OK OK BAD OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK BAD OK BAD BAD OK OK OK OK OK OK OK
en-de	gold	575	"In der Freitags-Ausgabe von NBC's ""MTP Now"" war der Colorado-Regierungschef"	"In der Freitags-Ausgabe von NBC ' s "" MTP Now "" war der Colorado-Regierungschef <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	576	"Jared Polis (D) sagte, er habe ""viele Sorgen"" darüber, was passieren wird, wenn Titel 42 im Mai endet. Er hofft, dass die Biden-Regierung einen Plan für das Ende der Politik hat, und dass ""wenn sie das tun, sie es noch nicht vollständig mit uns geteilt haben""."	"Jared Polis ( D ) sagte , er habe "" viele Sorgen "" darüber , was passieren wird , wenn Titel 42 im Mai endet . Er hofft , dass die Biden-Regierung einen Plan für das Ende der Politik hat , und dass "" wenn sie das tun , sie es noch nicht vollständig mit uns geteilt haben "" . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD
en-de	gold	577	Wir wollen, dass sie es mit uns überprüfen.	Wir wollen , dass sie es mit uns überprüfen . <EOS>	OK OK OK OK OK OK OK OK BAD OK OK
en-de	gold	578	"Polis erklärte, er wolle, dass während des Treffens der Gouverneure im Weißen Haus mehr Zeit für das Thema Einwanderung verbracht wurde, aber das Problem ""auftauchte"". Wir hatten Sekretär Mayorkas für einen Teil davon dort."	"Polis erklärte , er wolle , dass während des Treffens der Gouverneure im Weißen Haus mehr Zeit für das Thema Einwanderung verbracht wurde , aber das Problem "" auftauchte "" . Wir hatten Sekretär Mayorkas für einen Teil davon dort . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	579	Und so, wir brachten wieder, es gibt eine Menge Sorge, die ich teile, was passieren wird, wenn Titel 42 im Mai endet und so sicherstellen, dass die Bundesregierung einen Plan hat.	Und so , wir brachten wieder , es gibt eine Menge Sorge , die ich teile , was passieren wird , wenn Titel 42 im Mai endet und so sicherstellen , dass die Bundesregierung einen Plan hat . <EOS>	OK OK OK OK OK BAD OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK
en-de	gold	580	Wir hoffen, dass sie es tun.	Wir hoffen , dass sie es tun . <EOS>	OK OK OK OK OK OK OK OK OK
en-de	gold	581	Wenn ja, haben sie es noch nicht vollständig mit uns geteilt.	Wenn ja , haben sie es noch nicht vollständig mit uns geteilt . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	582	Aber wir haben gesagt, du brauchst einen Plan.	Aber wir haben gesagt , du brauchst einen Plan . <EOS>	OK OK OK OK OK BAD BAD OK OK OK OK
en-de	gold	583	Wir wollen, dass sie es mit uns überprüfen.	Wir wollen , dass sie es mit uns überprüfen . <EOS>	OK OK OK OK OK OK OK OK BAD OK OK
en-de	gold	584	Wir wollen sicherstellen, dass es nicht das ist, was wir im Dezember fünfmal oder dreimal erlebt haben, das wäre eine Katastrophe für das Land und es wäre schrecklich für die Biden-Regierung.	Wir wollen sicherstellen , dass es nicht das ist , was wir im Dezember fünfmal oder dreimal erlebt haben , das wäre eine Katastrophe für das Land und es wäre schrecklich für die Biden-Regierung . <EOS>	OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	585	Ich habe mit 30 Gesundheitsexperten darüber gesprochen, wie man Burnout vermeidet	Ich habe mit 30 Gesundheitsexperten darüber gesprochen , wie man Burnout vermeidet <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	586	Im Alltag suchen wir ständig nach Möglichkeiten, unsere Energie zu erhöhen und keine Erschöpfung zu vermeiden, besonders bei unserer Arbeit.	Im Alltag suchen wir ständig nach Möglichkeiten , unsere Energie zu erhöhen und keine Erschöpfung zu vermeiden , besonders bei unserer Arbeit . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK
en-de	gold	587	"Das kann für diejenigen in der Gesundheitsbranche extrem schwierig sein, weshalb ich 30 Gesundheits- und Wellness-Profis die gleiche Frage stellte: """"Wie verwalten Sie Ihre Energie und verbrennen Sie sich nicht in Ihrem Beruf?"""" Ihre Karrieren reichen von Infektionsärzten über Psychologen bis hin zu Achtsamkeitslehrern - und sie hatten alle großartige Ratschläge, wie man motiviert bleibt und den Ball rollt."	"Das kann für diejenigen in der Gesundheitsbranche extrem schwierig sein , weshalb ich 30 Gesundheits- und Wellness-Profis die gleiche Frage stellte : "" "" Wie verwalten Sie Ihre Energie und verbrennen Sie sich nicht in Ihrem Beruf ? "" "" Ihre Karrieren reichen von Infektionsärzten über Psychologen bis hin zu Achtsamkeitslehrern - und sie hatten alle großartige Ratschläge , wie man motiviert bleibt und den Ball rollt . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	588	Trotz der großen Unterschiede in ihrer Rolle gab es in ihren Antworten mehrere Themen, die sich als Mittel zur Verhinderung von Erschöpfung herausstellten.	Trotz der großen Unterschiede in ihrer Rolle gab es in ihren Antworten mehrere Themen , die sich als Mittel zur Verhinderung von Erschöpfung herausstellten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	589	Hier sind die vier wichtigsten Ansätze, die sie verwenden.	Hier sind die vier wichtigsten Ansätze , die sie verwenden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	590	1.Eine starke Gemeinschaft aufbauen: Als jemand, der mit Patienten arbeitet, die unheilbare Krankheiten haben, dankt Eufrosina Young ihrem starken Unterstützungssystem für ihre Fähigkeit, ihre Energie aufrechtzuerhalten.	1.Eine starke Gemeinschaft aufbauen : Als jemand , der mit Patienten arbeitet , die unheilbare Krankheiten haben , dankt Eufrosina Young ihrem starken Unterstützungssystem für ihre Fähigkeit , ihre Energie aufrechtzuerhalten . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	591	"Young ist ein neurologisch zertifizierter und ALS-Spezialist an der Abteilung für Neurologie des Upstate University Hospital und sagt, dass sie sich dort ""wie eine Armee von Menschen mobilisieren""."	"Young ist ein neurologisch zertifizierter und ALS-Spezialist an der Abteilung für Neurologie des Upstate University Hospital und sagt , dass sie sich dort "" wie eine Armee von Menschen mobilisieren "" . <EOS>"	OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	592	Für die amyotrophe Lateralsklerose (ALS) gibt es keine Heilung, aber das Wissen, dass sie nicht die Einzige ist, die die harte Arbeit unternimmt, um Behandlungen zu entwickeln und bessere Optionen für ihre Patienten anzubieten, hilft Young, auch in ihren härtesten Tagen weiterzumachen.	Für die amyotrophe Lateralsklerose ( ALS ) gibt es keine Heilung , aber das Wissen , dass sie nicht die Einzige ist , die die harte Arbeit unternimmt , um Behandlungen zu entwickeln und bessere Optionen für ihre Patienten anzubieten , hilft Young , auch in ihren härtesten Tagen weiterzumachen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	593	Wir tragen nicht das Gewicht der Welt, sondern sind Teil einer Welt von Menschen, die sich für diese Arbeit einsetzen, sagt sie.	Wir tragen nicht das Gewicht der Welt , sondern sind Teil einer Welt von Menschen , die sich für diese Arbeit einsetzen , sagt sie . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	594	2.Erholen Sie sich, wenn Sie es brauchen: Wenn Raphael Vallat zwei Jobs als Schlafforscher und Algorithmus-Ingenieur gehabt hätte, während er sich um ein Neugeborenes kümmerte, wäre er definitiv zu Burnout geführt worden, hätte er nicht ausgeruht, sagt er.	2.Erholen Sie sich , wenn Sie es brauchen : Wenn Raphael Vallat zwei Jobs als Schlafforscher und Algorithmus-Ingenieur gehabt hätte , während er sich um ein Neugeborenes kümmerte , wäre er definitiv zu Burnout geführt worden , hätte er nicht ausgeruht , sagt er . <EOS>	BAD OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	595	Ich habe das Gefühl, wenn ich kurz davor bin, auszubrennen, fühlt sich im Grunde jede Aufgabe wie ein Berg an, den man erklimmen muss, und es ist sehr dringend und wichtig, sagt Vallat.	Ich habe das Gefühl , wenn ich kurz davor bin , auszubrennen , fühlt sich im Grunde jede Aufgabe wie ein Berg an , den man erklimmen muss , und es ist sehr dringend und wichtig , sagt Vallat . <EOS>	OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	596	"In diesen Momenten müssen Sie sich wirklich etwas Zeit nehmen und erkennen, dass diese Aufgaben warten können"". Typischerweise findet Vallat Momente in seinem Tag, in denen er Pause machen und Zeit in der Natur verbringen kann, um sich zu gründen, bevor er zur Arbeit zurückkehrt. """	"In diesen Momenten müssen Sie sich wirklich etwas Zeit nehmen und erkennen , dass diese Aufgaben warten können "" . Typischerweise findet Vallat Momente in seinem Tag , in denen er Pause machen und Zeit in der Natur verbringen kann , um sich zu gründen , bevor er zur Arbeit zurückkehrt . "" <EOS>"	OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK
en-de	gold	597	3. Seien Sie leidenschaftlich für das, was Sie tun, und denken Sie an Ihren Zweck: Bis zum Frühjahr 2022 arbeitete die Spezialistin für Infektionskrankheiten, Céline Gounder, sieben Tage die Woche 100 Stunden.	3. Seien Sie leidenschaftlich für das , was Sie tun , und denken Sie an Ihren Zweck : Bis zum Frühjahr 2022 arbeitete die Spezialistin für Infektionskrankheiten , Céline Gounder , sieben Tage die Woche 100 Stunden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	598	Während der Pandemie an der Front zu sein, nahm fast ihre gesamte Zeit in Anspruch, aber sie vermied Burnout, indem sie sich daran erinnerte, warum ihre Arbeit wichtig ist.	Während der Pandemie an der Front zu sein , nahm fast ihre gesamte Zeit in Anspruch , aber sie vermied Burnout , indem sie sich daran erinnerte , warum ihre Arbeit wichtig ist . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	599	Ich denke nicht, dass sich Arbeit wie Arbeit anfühlt, wenn man das Gefühl hat, einen Einfluss zu haben, sagt Gounder.	Ich denke nicht , dass sich Arbeit wie Arbeit anfühlt , wenn man das Gefühl hat , einen Einfluss zu haben , sagt Gounder . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
